H, DEN
80000.0,1.8458e-05
80250.0,1.7782336204640988e-05
80500.0,1.712611874855358e-05
80750.0,1.648902577474649e-05
81000.0,1.5870735426228446e-05
81250.0,1.527092584600817e-05
81500.0,1.468927517709439e-05
81750.0,1.4125461562495812e-05
82000.0,1.3579163145221176e-05
82250.0,1.3050058068279198e-05
82500.0,1.25378244746786e-05
82750.0,1.2042140507428106e-05
83000.0,1.1562684309536444e-05
83250.0,1.1099134024012327e-05
83500.0,1.0651167793864481e-05
83750.0,1.021846376210163e-05
84000.0,9.800700071732499e-06
84250.0,9.397554865765805e-06
84500.0,9.008706287210277e-06
84750.0,8.633832479074633e-06
85000.0,8.272611584367598e-06
85250.0,7.924721746097895e-06
85500.0,7.589841107274248e-06
85750.0,7.267647810905374e-06
86000.0,6.95782e-06
86250.0,6.66003581756685e-06
86500.0,6.373973406614644e-06
86750.0,6.099310910152106e-06
87000.0,5.8357264711879565e-06
87250.0,5.582898232730922e-06
87500.0,5.340504337789724e-06
87750.0,5.108222929373084e-06
88000.0,4.885732150489725e-06
88250.0,4.672710144148371e-06
88500.0,4.468835053357743e-06
88750.0,4.273785021126565e-06
89000.0,4.0872381904635585e-06
89250.0,3.908872704377447e-06
89500.0,3.7383667058769543e-06
89750.0,3.5753983379708013e-06
90000.0,3.4196457436677113e-06
90250.0,3.2707870659764076e-06
90500.0,3.1285004479056136e-06
90750.0,2.99246403246405e-06
91000.0,2.86235596266044e-06
91250.0,2.7378543815035082e-06
91500.0,2.6186374320019758e-06
91750.0,2.5043832571645648e-06
92000.0,2.3947700000000004e-06
92250.0,2.2895105564862884e-06
92500.0,2.1884568344785874e-06
92750.0,2.091495494801338e-06
93000.0,1.998513198278982e-06
93250.0,1.9093966057359613e-06
93500.0,1.8240323779967177e-06
93750.0,1.7423071758856931e-06
94000.0,1.66410766022733e-06
94250.0,1.5893204918460697e-06
94500.0,1.5178323315663537e-06
94750.0,1.4495298402126253e-06
95000.0,1.3842996786093256e-06
95250.0,1.3220285075808954e-06
95500.0,1.262602987951778e-06
95750.0,1.2059097805464149e-06
96000.0,1.151835546189248e-06
96250.0,1.100266945704719e-06
96500.0,1.0510906399172702e-06
96750.0,1.0041932896513427e-06
97000.0,9.594615557313794e-07
97250.0,9.167820989818216e-07
97500.0,8.76041580227111e-07
97750.0,8.371266602916898e-07
98000.0,7.99924e-07
98250.0,7.643310788838277e-07
98500.0,7.302886513043386e-07
98750.0,6.97748290330042e-07
99000.0,6.666615690294476e-07
99250.0,6.369800604710651e-07
99500.0,6.086553377234043e-07
99750.0,5.81638973854975e-07
100000.0,5.558825419342869e-07
100250.0,5.313376150298496e-07
100500.0,5.079557662101727e-07
100750.0,4.856885685437665e-07
101000.0,4.644875950991401e-07
101250.0,4.443044189448033e-07
101500.0,4.2509061314926595e-07
101750.0,4.067977507810379e-07
102000.0,3.8937740490862867e-07
102250.0,3.727811486005479e-07
102500.0,3.569605549253057e-07
102750.0,3.418671969514113e-07
103000.0,3.2745264774737476e-07
103250.0,3.136684803817056e-07
103500.0,3.004662679229136e-07
103750.0,2.877975834395085e-07
104000.0,2.75614e-07
104250.0,2.6387364269917485e-07
104500.0,2.5256084473692806e-07
104750.0,2.4166649133943167e-07
105000.0,2.3118146773285765e-07
105250.0,2.21096659143378e-07
105500.0,2.1140295079716487e-07
105750.0,2.020912279203901e-07
106000.0,1.9315237573922592e-07
106250.0,1.8457727947984428e-07
106500.0,1.7635682436841713e-07
106750.0,1.6848189563111663e-07
107000.0,1.6094337849411467e-07
107250.0,1.5373215818358336e-07
107500.0,1.4683911992569466e-07
107750.0,1.4025514894662074e-07
108000.0,1.3397113047253345e-07
108250.0,1.2797794972960491e-07
108500.0,1.2226649194400718e-07
